shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
977934,43.6584271,-79.442157,1,
977934,43.6619355,-79.4255488,2,
977934,43.6666853,-79.4039195,3,
977934,43.67016210000001,-79.3866675,4,
977934,43.672379799999995,-79.37678170000002,5,
977934,43.6717745,-79.3709666,6,
977934,43.6745526,-79.36703990000002,7,
977934,43.6776254,-79.3518049,8,
977934,43.679005,-79.34454509999998,9,
977934,43.674380299999996,-79.3430001,10,
977934,43.6712452,-79.3417127,11,
977934,43.6706864,-79.34390140000002,12,
977934,43.66761320000001,-79.3427534,13,
977934,43.6683195,-79.339685,14,
977934,43.6685717,-79.3383171,15,
977934,43.66889370000001,-79.3370349,16,
977934,43.6690256,-79.3363698,17,
977935,43.6778757,-79.4430153,1,
977935,43.678318,-79.4409339,2,
977935,43.6787758,-79.4387452,3,
977935,43.6791716,-79.4370501,4,
977935,43.6795673,-79.43535490000002,5,
977935,43.6798699,-79.43402449999998,6,
977935,43.68015689999999,-79.4324152,7,
977935,43.6808475,-79.42948630000002,8,
977935,43.6814295,-79.42652509999998,9,
977935,43.6820579,-79.42352640000001,10,
977935,43.6823179,-79.4220217,11,
977935,43.6827019,-79.4201093,12,
977935,43.6832761,-79.4172608,13,
977935,43.6835554,-79.4157829,14,
977935,43.683951,-79.414026,15,
977935,43.6845324,-79.4110634,16,
977935,43.6834616,-79.410602,17,
977935,43.68232879999999,-79.41014059999998,18,
977935,43.68044329999999,-79.409352,19,
977935,43.6788643,-79.4087418,20,
977935,43.67828239999999,-79.41077890000003,21,
977935,43.6775656,-79.4106676,22,
977935,43.6768489,-79.4103525,23,
977935,43.6774251,-79.4081075,24,
977935,43.675458,-79.4073377,25,
977935,43.6734521,-79.4066431,26,
977935,43.6702548,-79.4053556,27,
977935,43.6690092,-79.40480840000002,28,
977935,43.6666843,-79.40382640000001,29,
977935,43.6622018,-79.40187890000001,30,
977936,43.6510547,-79.4399872,1,
977936,43.6529799,-79.43088909999999,2,
977936,43.6527935,-79.4287434,3,
977936,43.6552776,-79.4193449,4,
977936,43.6548429,-79.41488170000001,5,
977936,43.65683,-79.4053545,6,
977936,43.6584756,-79.3969002,7,
977936,43.6595933,-79.3911066,8,
977936,43.6614871,-79.3819227,9,
977936,43.6626669,-79.3756571,10,
977936,43.6632568,-79.3725672,11,
977936,43.6641065,-79.36870329999999,12,
977936,43.6642773,-79.3679094,13,
977936,43.663532200000006,-79.3676734,14,
977937,43.68424,-79.36518000000001,1,
977937,43.68372,-79.36499,2,
977937,43.683670000000006,-79.36508,3,
977937,43.683620000000005,-79.36528000000001,4,
977937,43.683620000000005,-79.36537000000001,5,
977937,43.6837,-79.36568000000001,6,
977937,43.683710000000005,-79.36581000000001,7,
977937,43.68363,-79.36624,8,
977937,43.68303,-79.36603000000001,9,
977937,43.68294,-79.36597,10,
977937,43.682680000000005,-79.36637,11,
977937,43.682280000000006,-79.3669,12,
977937,43.68191,-79.36731,13,
977937,43.68141000000001,-79.3678,14,
977937,43.681020000000004,-79.36817,15,
977937,43.68075,-79.36839,16,
977937,43.68056000000001,-79.36851,17,
977937,43.68036,-79.36861,18,
977937,43.680040000000005,-79.36869,19,
977937,43.679750000000006,-79.36871000000001,20,
977937,43.67954,-79.36868000000001,21,
977937,43.67924,-79.36859000000001,22,
977937,43.678920000000005,-79.36841000000001,23,
977937,43.67864,-79.36817,24,
977937,43.6784,-79.3679,25,
977937,43.67795,-79.36731,26,
977937,43.677890000000005,-79.36723,27,
977937,43.677800000000005,-79.36723,28,
977937,43.677780000000006,-79.36722,29,
977937,43.67763,-79.36712,30,
977937,43.677530000000004,-79.36710000000001,31,
977937,43.67734,-79.36713,32,
977937,43.67728,-79.36717,33,
977937,43.677200000000006,-79.36726,34,
977937,43.6771,-79.36745,35,
977937,43.67707,-79.36767,36,
977937,43.677080000000004,-79.36784,37,
977937,43.677110000000006,-79.36798,38,
977937,43.67716,-79.36808,39,
977937,43.677260000000004,-79.36818000000001,40,
